,ROC-AUC,F1,Precision,Recall,BalancedAcc
Baseline,0.8513981884591237,0.7257926039978063,0.7547281330780817,0.7015771526001705,0.7788452902283588
ROS,0.8501131768659163,0.7349302149138982,0.7127834572523619,0.7599744245524297,0.7843491805831373
RUS,0.8515186995130211,0.7284745469473207,0.7056726988372557,0.7541773231031543,0.7787233571312269
SMOTE,0.8509096881672494,0.7304749065789131,0.7091892269707778,0.7541773231031543,0.7805415389494087
SMOTE-ENN,0.8357558870812349,0.7400489705889383,0.6891044161830678,0.8037510656436488,0.7880390023797893
