PC1,PC2,Level
0.01423040974447944,-0.12657858894791363,Intermediate
-2.062788248841455,0.27109562548564087,Beginner
-1.9798834179827622,0.5098457264826254,Beginner
0.15380541022216376,-0.41130065673206406,Intermediate
0.5763937885926943,0.3520481443121204,Intermediate
1.3197981411092181,0.5613058561561238,Intermediate
2.915634379754396,-0.526004787943695,Advanced
-0.02386733078775473,-1.4807942088417778,Intermediate
0.7563166821070497,0.3584360399655787,Intermediate
-2.3223757558267115,-0.28323854869853277,Beginner
-2.6188568675013664,1.7980029556310022,Beginner
0.9124161829857712,-1.2821013499699183,Intermediate
0.2838528287496764,-1.1116755874234958,Intermediate
-1.5766431976228787,-0.6920608903925316,Beginner
-2.089979750662586,0.39297337788105313,Beginner
0.573582548538822,-0.21496195778202826,Intermediate
-1.9870120769599346,0.9880352553425286,Beginner
-1.7112159464532337,0.4794062608776065,Beginner
0.9699826586405853,-0.1883743804373889,Intermediate
-0.173505246268102,-1.3536847612849892,Intermediate
-0.1081109602469112,-0.8669600325360071,Intermediate
2.6110056804969224,-0.1097669514326296,Advanced
0.6889342243705744,0.3567943462979146,Intermediate
0.5120178473829212,0.8821913364365082,Intermediate
1.4212082951068579,0.15244082052748953,Intermediate
-1.5056918653371936,-0.610785889304187,Beginner
-1.7736183945030084,-1.5527229295225344,Beginner
-1.9509768318894376,0.5001505967681124,Beginner
-2.2711217382285454,-0.9364384358936213,Beginner
0.4052973346794279,0.4899602470475884,Intermediate
-1.902977187237349,-0.9245565578507358,Beginner
0.8023163349353534,0.4950122516472626,Intermediate
0.4608291581562998,-0.40377043411089314,Intermediate
0.7940862653266979,0.322661323761696,Intermediate
0.23446456324207846,-0.07978535416535994,Intermediate
-2.3017734178442435,1.1713218307787308,Beginner
0.17195813191176682,-0.9862313341654755,Intermediate
2.6069567850950195,0.820041890188662,Advanced
3.2515520140584275,0.625889220990231,Advanced
0.18668555279944835,-0.807246062199501,Intermediate
0.5495027286470863,0.7303536168948002,Intermediate
-1.7750836660677327,-0.5438297376052593,Beginner
-2.2588392749201187,1.0743305476413176,Beginner
0.1646449201973616,-0.9333136098891369,Intermediate
3.3422966384732957,1.5411137466688103,Advanced
-1.9497368541906903,0.22602911461664887,Beginner
1.4304254105997716,-1.3721656784278,Intermediate
2.993751592255799,0.13131736394896004,Advanced
0.3670587288607529,1.3482659180703962,Intermediate
1.1853888981505643,-0.8526073122692038,Intermediate
-1.785867307614048,1.7884574597245926,Beginner
3.099930573000868,0.34158531575213374,Advanced
0.9214409098624399,1.0218230517503744,Intermediate
0.4693650895702076,-0.055898697550821004,Intermediate
-2.6949194791424413,-1.221644251494547,Beginner
-1.619317573668754,-0.3639541488469858,Beginner
0.5495785575162854,0.6339631553185184,Intermediate
1.155925661693969,1.536108284640872,Intermediate
3.6376926420003612,1.3597001783116565,Advanced
0.630450444712014,-0.3117139773501628,Intermediate
0.8589236712116723,-0.29556990372167097,Intermediate
1.387969092407762,1.5135380474840932,Intermediate
1.069128652526686,-0.5739932658166148,Intermediate
-0.06594941031122496,0.8416943912049883,Intermediate
2.7416331708464443,1.3676629202408424,Advanced
-2.756433721364832,-0.06532580579868248,Beginner
-0.19724542002910508,-1.0129072221305049,Intermediate
-1.9171737530330522,0.7648984649026414,Beginner
-1.6833830123847457,0.44017425409685695,Beginner
1.1427770099160695,-1.046824604670018,Intermediate
-2.355334384849207,-1.6748354153423868,Beginner
3.310654060980258,-0.046558577523428714,Advanced
1.3163948133876873,-1.5376547716753177,Intermediate
0.4839723538822901,0.7924943719067722,Intermediate
-2.43412473222004,-0.4579649816687415,Beginner
1.1198528424012806,-0.11104857834954991,Intermediate
1.3046729286872167,-1.464135264107822,Intermediate
-2.054127600542596,-0.11789170531447059,Beginner
-2.176707795283246,0.30981559695453437,Beginner
1.1108504372389982,-1.7458650709145904,Intermediate
-2.146700658459288,0.22849008994914052,Beginner
0.6562076228722946,0.7631927202537668,Intermediate
0.5771741343424495,1.2322000205231678,Intermediate
-1.293747705964013,0.1543354294454347,Beginner
2.3384085243766077,-1.8017498003480295,Advanced
3.3821219909390936,0.10562701156038687,Advanced
-2.052650953806282,1.1511063234414045,Beginner
-2.2717482681262453,-1.406659658567864,Beginner
-1.834729197339404,-0.0006236401232880019,Beginner
-1.5653037917888688,-1.048017099156711,Beginner
0.07094280356575944,-0.27808179578386977,Intermediate
3.304738153511139,-0.08084081027952704,Advanced
-2.668379119425236,1.4071750666476417,Beginner
1.7247760059103254,0.7370492340503655,Intermediate
0.8320188258163672,1.594761732033731,Intermediate
0.07834736022964334,-0.0739719997684379,Intermediate
-2.2170225744286425,0.9079949241346681,Beginner
-1.709106528692496,0.41310093449277435,Beginner
-1.5199353248506635,1.5091790655276935,Beginner
-1.8609084971023409,-0.6836353004857344,Beginner
0.46462381061354535,1.7670720611751796,Intermediate
0.058319697935718035,-1.226564912275657,Intermediate
-2.5930708390614807,0.4043678061427574,Beginner
-1.5567294294727105,1.5150550109077734,Beginner
-2.2668015030334216,1.520832373352489,Beginner
0.9248739719362457,1.1214312506410888,Intermediate
2.4813673501689912,1.4304942143976305,Advanced
0.6088832673969146,-0.7550129326193787,Intermediate
3.34772439044838,1.291800805144843,Advanced
-2.547200214360626,-0.7646752823811724,Beginner
-2.178300079613268,-1.1302811754702402,Beginner
-1.708633375921075,0.1443566054717933,Beginner
-1.9239730679764078,0.8680356577242629,Beginner
2.7073599131689186,-0.6169543253211833,Advanced
-1.5543405691422818,-1.302424724738402,Beginner
0.7504066799782941,-1.7555791761680428,Intermediate
